selling_price,km_driven,fuel,seller_type,transmission,owner,car_age
60000,70000,Petrol,Individual,Manual,First Owner,13
135000,50000,Petrol,Individual,Manual,First Owner,13
600000,100000,Diesel,Individual,Manual,First Owner,8
250000,46000,Petrol,Individual,Manual,First Owner,3
450000,141000,Diesel,Individual,Manual,Second Owner,6
140000,125000,Petrol,Individual,Manual,First Owner,13
550000,25000,Petrol,Individual,Manual,First Owner,4
240000,60000,Petrol,Individual,Manual,Second Owner,6
850000,25000,Petrol,Individual,Manual,First Owner,5
365000,78000,CNG,Individual,Manual,First Owner,3
260000,35000,Petrol,Individual,Manual,First Owner,5
250000,100000,Petrol,Individual,Manual,First Owner,6
1650000,25000,Petrol,Dealer,Automatic,First Owner,2
585000,24000,Petrol,Dealer,Manual,First Owner,5
1195000,5000,Diesel,Dealer,Manual,First Owner,1
390000,33000,Diesel,Individual,Manual,Second Owner,7
1964999,28000,Diesel,Dealer,Automatic,First Owner,6
1425000,59000,Diesel,Dealer,Automatic,First Owner,7
975000,4500,Diesel,Dealer,Automatic,First Owner,2
1190000,175900,Diesel,Dealer,Automatic,First Owner,9
930000,14500,Petrol,Dealer,Manual,First Owner,2
525000,15000,Petrol,Individual,Manual,First Owner,2
1735000,50000,Diesel,Dealer,Automatic,First Owner,7
1375000,33800,Diesel,Dealer,Automatic,Second Owner,8
450000,130400,Diesel,Dealer,Automatic,Second Owner,9
900000,50000,Petrol,Individual,Automatic,First Owner,4
1300000,80000,Diesel,Individual,Manual,First Owner,5
1400000,10000,Petrol,Individual,Manual,First Owner,1
850000,119000,Petrol,Dealer,Automatic,First Owner,10
229999,60000,Petrol,Individual,Manual,Fourth & Above Owner,6
1550000,75800,Diesel,Dealer,Automatic,Second Owner,7
1250000,78000,Diesel,Dealer,Automatic,Third Owner,11
625000,40000,Diesel,Individual,Manual,First Owner,8
1050000,50000,Diesel,Individual,Manual,First Owner,6
560000,74000,Diesel,Individual,Manual,Second Owner,6
290000,64000,Petrol,Individual,Manual,Second Owner,6
275000,60000,Petrol,Individual,Manual,Second Owner,8
411000,120000,Diesel,Individual,Manual,Second Owner,11
150000,79000,Petrol,Individual,Manual,Third Owner,11
500000,15000,Petrol,Individual,Manual,First Owner,1
100000,80000,Petrol,Individual,Manual,First Owner,14
725000,18500,Diesel,Dealer,Manual,First Owner,3
401000,10200,Petrol,Dealer,Manual,First Owner,2
750000,29000,Diesel,Dealer,Manual,First Owner,2
310000,28000,Petrol,Dealer,Manual,First Owner,2
665000,46000,Diesel,Dealer,Manual,First Owner,4
465000,70000,Diesel,Dealer,Manual,First Owner,6
160000,60000,Petrol,Individual,Manual,Second Owner,8
250000,35000,Diesel,Individual,Manual,Second Owner,24
675000,90000,Diesel,Dealer,Manual,First Owner,6
300000,80000,Petrol,Dealer,Manual,First Owner,7
70000,80000,Diesel,Individual,Manual,First Owner,15
240000,73300,Petrol,Dealer,Manual,Second Owner,6
525000,92000,Diesel,Dealer,Manual,First Owner,6
151000,66764,Petrol,Dealer,Manual,Second Owner,11
140000,100000,Petrol,Individual,Manual,First Owner,11
280000,350000,Diesel,Individual,Manual,Second Owner,10
350000,230000,Diesel,Individual,Manual,First Owner,9
570000,60000,Diesel,Individual,Manual,First Owner,3
300000,31000,Petrol,Individual,Manual,First Owner,2
100000,39000,Diesel,Individual,Manual,First Owner,13
500000,120000,Diesel,Individual,Manual,Third Owner,11
125000,166000,Diesel,Individual,Manual,Fourth & Above Owner,6
130000,110000,Petrol,Individual,Manual,Third Owner,14
925000,35000,Diesel,Individual,Manual,First Owner,3
750000,60000,Diesel,Individual,Manual,First Owner,2
200000,54000,Petrol,Individual,Automatic,Second Owner,13
248000,63000,Petrol,Individual,Manual,Second Owner,10
450000,120000,Diesel,Individual,Manual,Second Owner,6
80000,120000,Petrol,Individual,Manual,Third Owner,15
650000,76000,Petrol,Individual,Manual,Second Owner,6
450000,80000,Diesel,Individual,Manual,First Owner,5
650000,25000,Diesel,Individual,Manual,First Owner,1
495000,11958,Petrol,Dealer,Manual,First Owner,4
371000,20000,Petrol,Dealer,Manual,First Owner,5
1025000,9000,Petrol,Dealer,Manual,First Owner,3
8150000,6500,Diesel,Dealer,Automatic,First Owner,3
750000,70000,Diesel,Individual,Manual,First Owner,5
600000,120000,Diesel,Individual,Manual,First Owner,7
80000,58000,Petrol,Dealer,Manual,Second Owner,13
325000,62200,Diesel,Dealer,Manual,First Owner,7
